id;name;description;image_1;image_1_content_type;image_2;image_2_content_type;image_3;image_3_content_type;offer_id
1;Multi-channelled Licensed;grey Cambridgeshire;../fake-data/blob/hipster.png;image/png;../fake-data/blob/hipster.png;image/png;../fake-data/blob/hipster.png;image/png;1
2;Canyon HDD;Table Small Frozen Sausages Planner;../fake-data/blob/hipster.png;image/png;../fake-data/blob/hipster.png;image/png;../fake-data/blob/hipster.png;image/png;1
3;envisioneer Music Public-key;infomediaries;../fake-data/blob/hipster.png;image/png;../fake-data/blob/hipster.png;image/png;../fake-data/blob/hipster.png;image/png;1
4;Investment Account;Games Regional Digitized;../fake-data/blob/hipster.png;image/png;../fake-data/blob/hipster.png;image/png;../fake-data/blob/hipster.png;image/png;1
5;copy convergence;Mayotte;../fake-data/blob/hipster.png;image/png;../fake-data/blob/hipster.png;image/png;../fake-data/blob/hipster.png;image/png;1
6;Industrial;connect Markets Chief;../fake-data/blob/hipster.png;image/png;../fake-data/blob/hipster.png;image/png;../fake-data/blob/hipster.png;image/png;1
7;capacitor archive;sky blue Tasty Plastic Pizza;../fake-data/blob/hipster.png;image/png;../fake-data/blob/hipster.png;image/png;../fake-data/blob/hipster.png;image/png;1
8;compress South Georgia and the South Sandwich Islands;compelling mission-critical;../fake-data/blob/hipster.png;image/png;../fake-data/blob/hipster.png;image/png;../fake-data/blob/hipster.png;image/png;1
9;bifurcated scalable;Small;../fake-data/blob/hipster.png;image/png;../fake-data/blob/hipster.png;image/png;../fake-data/blob/hipster.png;image/png;1
10;deliverables reinvent 24 hour;overriding;../fake-data/blob/hipster.png;image/png;../fake-data/blob/hipster.png;image/png;../fake-data/blob/hipster.png;image/png;1
